Date,vol_forecast
2001/5/4,21.87077286
2001/5/7,21.80956773
2001/5/8,20.44263532
2001/5/9,19.16214523
2001/5/10,18.1625846
2001/5/11,17.02670439
2001/5/14,16.62371684
2001/5/15,15.64768992
2001/5/16,14.71640229
2001/5/17,20.63963724
2001/5/18,19.32951286
2001/5/21,18.1267305
2001/5/22,19.03135546
2001/5/23,17.90876774
2001/5/24,19.08082701
2001/5/25,17.91894132
2001/5/29,18.18633907
2001/5/30,17.68006665
2001/5/31,18.93180881
2001/6/1,17.99347685
2001/6/4,16.95965887
2001/6/5,16.11009237
2001/6/6,16.6141482
2001/6/7,16.80939056
2001/6/8,16.00537483
2001/6/11,16.0558305
2001/6/12,15.90438146
2001/6/13,14.9535932
2001/6/14,15.59907573
2001/6/15,17.86382347
2001/6/18,16.98973335
2001/6/19,16.23835581
2001/6/20,15.33577939
2001/6/21,15.11142927
2001/6/22,15.41987241
2001/6/25,15.56622547
2001/6/26,15.0375463
2001/6/27,14.20863877
2001/6/28,13.72594684
2001/6/29,14.53319927
2001/7/2,13.74887466
2001/7/3,14.00130274
2001/7/5,13.28478604
2001/7/6,14.50867694
2001/7/9,19.28983677
2001/7/10,18.38457115
2001/7/11,19.17665513
2001/7/12,17.9767003
2001/7/13,21.10014141
2001/7/16,19.96286763
2001/7/17,19.75442509
2001/7/18,19.19308878
2001/7/19,18.29266128
2001/7/20,17.4014504
2001/7/23,16.47771426
2001/7/24,18.18410593
2001/7/25,19.50531046
2001/7/26,20.15174874
2001/7/27,19.61652179
2001/7/30,18.38046019
2001/7/31,17.24520466
2001/8/1,16.40954756
2001/8/2,15.51856489
2001/8/3,14.7153924
2001/8/6,14.24714103
2001/8/7,15.038845
2001/8/8,14.23560962
2001/8/9,16.7974132
2001/8/10,15.77280153
2001/8/13,15.09441738
2001/8/14,14.21162462
2001/8/15,13.63399916
2001/8/16,13.62814267
2001/8/17,12.94656357
2001/8/20,15.63852462
2001/8/21,15.28472552
2001/8/22,16.05161013
2001/8/23,15.4892186
2001/8/24,14.69341999
2001/8/27,17.37558284
2001/8/28,16.57983118
2001/8/29,17.87350414
2001/8/30,18.00671874
2001/8/31,19.57019871
2001/9/4,18.40884308
2001/9/5,17.25781113
2001/9/6,16.21682709
2001/9/7,20.01034747
2001/9/10,21.62628251
2001/9/17,20.43985789
2001/9/18,34.29797809
2001/9/19,32.09659707
2001/9/20,31.30596918
2001/9/21,34.20931672
2001/9/24,33.68095111
2001/9/25,37.69386706
2001/9/26,35.32600609
2001/9/27,33.00413789
2001/9/28,31.28313724
2001/10/1,31.3861497
2001/10/2,29.249322
2001/10/3,27.98784985
2001/10/4,28.15702253
2001/10/5,26.27881845
2001/10/8,24.49524272
2001/10/9,23.38931881
2001/10/10,22.07963024
2001/10/11,24.00493117
2001/10/12,23.80002024
2001/10/15,22.44637828
2001/10/16,20.99121884
2001/10/17,19.92795164
2001/10/18,21.55953579
2001/10/19,20.69422397
2001/10/22,19.46747386
2001/10/23,19.94146558
2001/10/24,18.88810278
2001/10/25,17.68541096
2001/10/26,18.09580262
2001/10/29,17.06797907
2001/10/30,21.13219488
2001/10/31,22.13534921
2001/11/1,20.67343325
2001/11/2,22.90613127
2001/11/5,21.41612297
2001/11/6,21.40748739
2001/11/7,21.42765373
2001/11/8,20.1068107
2001/11/9,18.8319421
2001/11/12,17.6413646
2001/11/13,16.59492456
2001/11/14,18.46289826
2001/11/15,17.30825812
2001/11/16,16.23649897
2001/11/19,15.39882799
2001/11/20,15.56674811
2001/11/21,15.29807163
2001/11/23,14.72702684
2001/11/26,15.17196617
2001/11/27,14.60768332
2001/11/28,14.38600256
2001/11/29,17.22510306
2001/11/30,17.03472632
2001/12/3,16.00120476
2001/12/4,15.8614881
2001/12/5,16.452725
2001/12/6,19.53632592
2001/12/7,18.37864482
2001/12/10,17.81181739
2001/12/11,19.09575343
2001/12/12,17.97644421
2001/12/13,16.84950497
2001/12/14,18.24140766
2001/12/17,17.15663793
2001/12/18,16.92085648
2001/12/19,16.33874122
2001/12/20,15.61571131
2001/12/21,15.52697793
2001/12/24,14.75164233
2001/12/26,13.90545028
2001/12/27,13.26948731
2001/12/28,13.00044023
2001/12/31,12.39686503
2002/1/2,13.48000177
2002/1/3,13.05199953
2002/1/4,13.22987433
2002/1/7,12.89068693
2002/1/8,12.83731306
2002/1/9,12.38075996
2002/1/10,12.12576379
2002/1/11,11.51459687
2002/1/14,12.32896086
2002/1/15,12.3141867
2002/1/16,12.17849007
2002/1/17,14.94753521
2002/1/18,15.01088877
2002/1/22,15.31919836
2002/1/23,15.08777981
2002/1/24,14.77057743
2002/1/25,14.0075596
2002/1/28,13.2208953
2002/1/29,12.51186515
2002/1/30,20.34520509
2002/1/31,19.99618455
2002/2/1,20.30789932
2002/2/4,19.47204651
2002/2/5,23.16956979
